run_id,avg_playability,max_playability,min_playability,total_data_count,avg_novelty,combined_playability
9cabd97e-499b-4748-9b4d-9bfd30d7fdb3,68.80952380952381,78,62,21,1.666615624573791,1445.0
d5fdc5fc-889f-4df0-83d1-4ab99e1fd5df,68.45833333333333,80,60,24,2.0280656052836927,1643.0
970a42de-4bd2-475a-b68c-880efea92d8c,70.5,74,64,24,1.6676808811622905,1692.0
6836fe62-154b-4b3f-b48a-c02c8ed5f9ff,67.875,95,47,112,1.8101015479609806,7602.0
31e913f4-18d3-4630-ac13-3a21b182d980,66.75,72,59,24,1.931310698446538,1602.0
6bb78c04-460f-4ea6-a37c-11fda3e5a11f,67.58823529411765,80,61,17,1.776299209315361,1149.0
7556874e-6b69-40c1-879a-a90b42e939a4,64.75,65,64,8,1.8292804462333936,518.0
37f61512-d79b-46d6-9de7-d147770c3912,72.8,76,66,10,1.9303118015185885,728.0
513418f0-2da9-4b9d-9f8a-ca5f16d59256,70.6896551724138,86,59,29,1.78806740060551,2050.0
8d330973-d248-4b97-a9c0-b227844d2c04,66.46153846153847,86,59,26,1.8316603211234803,1728.0000000000002
e1eee29d-fadf-403c-a367-8a787c51ba2b,74.0625,92,61,16,1.8758362874348595,1185.0
ba859792-0ad7-47a5-8044-e456436d68e2,73.26315789473684,88,59,19,1.893216712649794,1391.9999999999998
163e4a92-d00d-4604-be6f-236c9adc4b46,76.6,85,65,10,1.8810697414342752,766.0
7e8547d6-0f4e-4261-967b-00a90966012d,72.61904761904762,75,64,42,1.9696672888199203,3050.0
a36f413e-24c8-4f38-8fed-4b01aad8937f,62.88235294117647,68,59,17,1.7106276765865283,1069.0
5e5d3327-8ab7-4b85-913d-afec1e93f358,69.73387096774194,95,48,124,1.876984173701865,8647.0
1497a0eb-d9a7-4ec2-86ae-ae86f7f99fb8,72.0909090909091,92,59,11,1.8647922107932546,793.0
7d45cdc0-ae23-4816-bc1d-4293ce06be96,69.3801652892562,94,59,121,1.7932448531050285,8395.0
1329af24-c978-4d0c-900a-131791bb695a,72.55555555555556,87,62,54,1.8597606197689538,3918.0
d6bfc37f-6a63-47a7-bf87-9b5a8ef85236,74.88888888888889,86,66,18,1.8340186612033602,1348.0
082e8e25-ef5f-4c08-bdcb-163cb9350104,66.57142857142857,71,64,14,1.9999780435910581,932.0
bd8451ba-528b-4bcf-9502-d983a07b45c7,72.13793103448276,95,24,87,1.7984210931645213,6276.0
a0450d7a-b285-4a20-8212-a8fdb28250d2,61.0,65,59,18,1.825489931958381,1098.0
4e224c85-4532-4d11-947b-210204607a62,75.63157894736842,95,59,19,1.8287665252829546,1437.0
